  k                             window  certs    first stage-D prime   r max r               at prime
  6                 [1000000,10000000)      1                2031121  11    11                2031121
  7               [10000000,100000000)      0   -- no stage-D certificate in this window
  8             [100000000,1000000000)     13              101206561   7    23              605531161
  9           [1000000000,10000000000)    110             1121527969   7    47             7752156889
 10          [10000000000,20000000000)    125            10060720849   7    39            10704160009
 11        [100000000000,110000000000)    135           100077498049  11    47           108028557961
 12      [1000000000000,1010000000000)     95          1000156365289  11    27          1008659856649
 13    [10000000000000,10010000000000)    119         10000033563529   3    31         10003328029249
 14  [100000000000000,100010000000000)    122        100000066296001  11    23        100000867468681
 15 [1000000000000000,1000010000000000)    106       1000000111895929  23    47       1000008369517609
 16 [10000000000000000,10000010000000000)    108      10000000446692881   3    19      10000000569373081
 17 [100000000000000000,100000010000000000)    109     100000000082167441   3    31     100000000445906521
 18 [1000000000000000000,1000000010000000000)     96    1000000000043953561   3    27    1000000001684772169
 19 [10000000000000000000,10000000010000000000)     91   10000000000114645921  15    19   10000000003275263881
