# certified filter table for rung_scan3 -- pruned by unique-kill accounting.
# Soundness is MONOTONE in this set: dropping a filter can only leave more
# survivors, never manufacture a false certificate.
# M=2042040 mmax=2000 seg=262144 npos=65536 lanes=2308 lo_ref=1000000000000 max_density=1.0
# ns_per_mark=0.00428 ns_per_survivor_composite=29.6 ns_per_survivor_prime=2345.6 measured=yes
# scored_on=positions_weighted_by_live_prime_fraction device=yes
# sha256=86d3a0dbd70ea170bdf13450fe074c51b4eb413713eb07b091f673d35f529565
# filters=3745 marks_per_pos=9.0951 survivor_density=9.680869e-05 prime_density=8.356633e-06
FILTER 19 15 F1
FILTER 19 18 F1
FILTER 19 14 F1
FILTER 23 21 F1
FILTER 23 22 F1
FILTER 23 17 F1
FILTER 23 10 F1
FILTER 23 7 F1
FILTER 23 19 F1
FILTER 23 20 F1
FILTER 276 253 F2
FILTER 23 15 F1
FILTER 23 11 F1
FILTER 207 97 F1
FILTER 207 175 F1
FILTER 5244 133 F2
FILTER 1748 1729 F2
FILTER 3496 969 F2
FILTER 3404 2789 F2
FILTER 3404 1961 F2
FILTER 5244 4237 F2
FILTER 1311 1279 F1
FILTER 1311 1270 F1
FILTER 3956 837 F2
FILTER 3956 1849 F2
FILTER 1219 1158 F1
FILTER 4876 3021 F2
FILTER 4876 4217 F2
FILTER 1219 975 F1
FILTER 1219 1214 F1
FILTER 1219 1199 F1
FILTER 279 244 F1
FILTER 279 199 F1
FILTER 279 136 F1
FILTER 279 271 F1
FILTER 31 30 F1
FILTER 31 29 F1
FILTER 31 15 F1
FILTER 279 259 F1
FILTER 279 223 F1
FILTER 279 79 F1
FILTER 279 274 F1
FILTER 279 265 F1
FILTER 279 166 F1
FILTER 1767 1750 F1
FILTER 1767 877 F1
FILTER 1767 1699 F1
FILTER 1767 1495 F1
FILTER 1767 1741 F1
FILTER 1767 1663 F1
FILTER 2356 1333 F2
FILTER 2356 2201 F2
FILTER 87 76 F1
FILTER 87 79 F1
FILTER 87 85 F1
FILTER 87 43 F1
FILTER 348 145 F2
FILTER 348 229 F2
FILTER 551 479 F1
FILTER 551 503 F1
FILTER 551 539 F1
FILTER 551 176 F1
FILTER 551 505 F1
FILTER 551 264 F1
FILTER 551 407 F1
FILTER 551 545 F1
FILTER 551 515 F1
FILTER 783 388 F1
FILTER 551 352 F1
FILTER 2204 1837 F2
FILTER 551 241 F1
FILTER 551 274 F1
FILTER 551 183 F1
FILTER 783 559 F1
FILTER 551 88 F1
FILTER 2204 329 F2
FILTER 551 367 F1
FILTER 551 459 F1
FILTER 551 535 F1
FILTER 3132 901 F2
FILTER 899 890 F1
FILTER 899 799 F1
FILTER 783 367 F1
FILTER 783 727 F1
FILTER 783 769 F1
FILTER 899 824 F1
FILTER 899 887 F1
FILTER 111 52 F1
FILTER 111 103 F1
FILTER 111 55 F1
FILTER 111 97 F1
FILTER 111 109 F1
FILTER 111 79 F1
FILTER 703 438 F1
FILTER 703 191 F1
FILTER 703 575 F1
FILTER 703 346 F1
FILTER 999 979 F1
FILTER 999 994 F1
FILTER 999 949 F1
FILTER 703 447 F1
FILTER 703 219 F1
FILTER 703 382 F1
FILTER 703 173 F1
FILTER 999 487 F1
FILTER 999 919 F1
FILTER 999 799 F1
FILTER 2812 777 F2
FILTER 43 39 F1
FILTER 43 42 F1
FILTER 43 32 F1
FILTER 899 298 F1
FILTER 159 118 F1
FILTER 159 31 F1
FILTER 159 157 F1
FILTER 636 421 F2
FILTER 159 79 F1
FILTER 159 154 F1
FILTER 159 139 F1
FILTER 159 127 F1
FILTER 159 151 F1
FILTER 636 265 F2
FILTER 899 591 F1
FILTER 899 359 F1
FILTER 899 791 F1
FILTER 492 325 F2
FILTER 492 205 F2
FILTER 703 639 F1
FILTER 703 692 F1
FILTER 47 44 F1
FILTER 47 30 F1
FILTER 47 41 F1
FILTER 564 517 F2
FILTER 47 45 F1
FILTER 47 11 F1
FILTER 47 43 F1
FILTER 47 35 F1
FILTER 47 31 F1
FILTER 47 39 F1
FILTER 47 15 F1
FILTER 47 23 F1
FILTER 47 46 F1
FILTER 47 22 F1
FILTER 5076 4861 F2
FILTER 10716 2461 F2
FILTER 3572 637 F2
FILTER 7144 5881 F2
FILTER 3572 2841 F2
FILTER 59 39 F1
FILTER 59 18 F1
FILTER 59 23 F1
FILTER 59 58 F1
FILTER 59 56 F1
FILTER 59 44 F1
FILTER 59 55 F1
FILTER 708 649 F2
FILTER 59 54 F1
FILTER 59 47 F1
FILTER 183 175 F1
FILTER 183 160 F1
FILTER 183 181 F1
FILTER 183 91 F1
FILTER 5612 2257 F2
FILTER 1007 429 F1
FILTER 1007 615 F1
FILTER 1007 750 F1
FILTER 1007 446 F1
FILTER 67 63 F1
FILTER 67 50 F1
FILTER 67 66 F1
FILTER 1007 995 F1
FILTER 1007 923 F1
FILTER 1007 959 F1
FILTER 2812 629 F2
FILTER 71 68 F1
FILTER 71 62 F1
FILTER 71 34 F1
FILTER 71 69 F1
FILTER 71 55 F1
FILTER 71 67 F1
FILTER 71 63 F1
FILTER 71 59 F1
FILTER 71 65 F1
FILTER 71 53 F1
FILTER 71 35 F1
FILTER 71 23 F1
FILTER 71 47 F1
FILTER 71 31 F1
FILTER 71 70 F1
FILTER 639 634 F1
FILTER 639 508 F1
FILTER 639 478 F1
FILTER 639 127 F1
FILTER 639 607 F1
FILTER 639 511 F1
FILTER 639 619 F1
FILTER 639 439 F1
FILTER 219 208 F1
FILTER 219 175 F1
FILTER 219 214 F1
FILTER 219 199 F1
FILTER 1679 829 F1
FILTER 1679 1359 F1
FILTER 1679 1439 F1
FILTER 1679 1254 F1
FILTER 1679 1599 F1
FILTER 1679 979 F1
FILTER 1679 335 F1
FILTER 1679 1231 F1
FILTER 1679 1669 F1
FILTER 1679 1511 F1
FILTER 1679 1658 F1
FILTER 1679 959 F1
FILTER 1679 1005 F1
FILTER 1679 1623 F1
FILTER 1679 1672 F1
FILTER 1679 1258 F1
FILTER 1679 1117 F1
FILTER 1679 1519 F1
FILTER 1679 1116 F1
FILTER 1679 1649 F1
FILTER 1679 1175 F1
FILTER 1679 553 F1
FILTER 1679 1427 F1
FILTER 1679 416 F1
FILTER 1679 1342 F1
FILTER 1679 1319 F1
FILTER 1679 1664 F1
FILTER 1679 836 F1
FILTER 703 687 F1
FILTER 79 74 F1
FILTER 79 71 F1
FILTER 79 75 F1
FILTER 79 78 F1
FILTER 79 47 F1
FILTER 79 15 F1
FILTER 79 69 F1
FILTER 79 63 F1
FILTER 79 37 F1
FILTER 79 59 F1
FILTER 79 39 F1
FILTER 79 77 F1
FILTER 79 58 F1
FILTER 1007 989 F1
FILTER 83 76 F1
FILTER 83 53 F1
FILTER 83 71 F1
FILTER 83 82 F1
FILTER 83 62 F1
FILTER 83 80 F1
FILTER 83 55 F1
FILTER 83 79 F1
FILTER 83 47 F1
FILTER 747 703 F1
FILTER 747 730 F1
FILTER 747 679 F1
FILTER 747 736 F1
FILTER 1679 1619 F1
FILTER 1679 837 F1
FILTER 1007 935 F1
FILTER 703 659 F1
FILTER 1007 251 F1
FILTER 1007 499 F1
FILTER 1007 670 F1
FILTER 1007 815 F1
FILTER 1007 359 F1
FILTER 1007 986 F1
FILTER 1007 993 F1
FILTER 1007 783 F1
FILTER 1679 699 F1
FILTER 1679 239 F1
FILTER 1679 1651 F1
FILTER 1679 1639 F1
FILTER 1679 1499 F1
FILTER 1679 671 F1
FILTER 1679 1559 F1
FILTER 1679 1110 F1
FILTER 1679 1665 F1
FILTER 1679 478 F1
FILTER 1679 1637 F1
FILTER 103 77 F1
FILTER 103 99 F1
FILTER 103 102 F1
FILTER 103 90 F1
FILTER 103 45 F1
FILTER 103 51 F1
FILTER 103 95 F1
FILTER 103 87 F1
FILTER 103 101 F1
FILTER 1679 558 F1
FILTER 1679 1007 F1
FILTER 107 80 F1
FILTER 107 71 F1
FILTER 107 104 F1
FILTER 107 95 F1
FILTER 107 98 F1
FILTER 107 103 F1
FILTER 107 106 F1
FILTER 899 599 F1
FILTER 1679 1398 F1
FILTER 303 295 F1
FILTER 303 151 F1
FILTER 303 142 F1
FILTER 303 271 F1
FILTER 303 265 F1
FILTER 303 301 F1
FILTER 339 319 F1
FILTER 339 334 F1
FILTER 339 271 F1
FILTER 339 322 F1
FILTER 1147 1106 F1
FILTER 327 319 F1
FILTER 327 163 F1
FILTER 327 286 F1
FILTER 327 325 F1
FILTER 1679 555 F1
FILTER 1539 559 F1
FILTER 131 95 F1
FILTER 131 40 F1
FILTER 131 130 F1
FILTER 131 87 F1
FILTER 131 127 F1
FILTER 131 119 F1
FILTER 131 98 F1
FILTER 131 120 F1
FILTER 131 128 F1
FILTER 1679 1199 F1
FILTER 1679 279 F1
FILTER 139 135 F1
FILTER 139 134 F1
FILTER 139 39 F1
FILTER 139 104 F1
FILTER 139 138 F1
FILTER 139 111 F1
FILTER 139 132 F1
FILTER 139 82 F1
FILTER 139 119 F1
FILTER 127 63 F1
FILTER 127 123 F1
FILTER 127 125 F1
FILTER 127 126 F1
FILTER 127 95 F1
FILTER 127 111 F1
FILTER 127 119 F1
FILTER 1147 1119 F1
FILTER 151 132 F1
FILTER 151 66 F1
FILTER 151 147 F1
FILTER 151 135 F1
FILTER 151 113 F1
FILTER 151 149 F1
FILTER 151 143 F1
FILTER 151 150 F1
